場所,騎手,total_runs,wins,places,win_rate,place_rate
中山,坂井瑠星,99,7,15,7.07,15.15
中山,城戸義政,9,1,1,11.11,11.11
中山,大久保友,3,0,0,0.0,0.0
中山,大塚海渡,39,1,5,2.56,12.82
中山,大庭和弥,109,0,5,0.0,4.59
中山,大江原圭,4,0,0,0.0,0.0
中山,大野拓弥,1945,144,457,7.4,23.5
中山,太宰啓介,11,0,1,0.0,9.09
中山,宮崎北斗,409,17,48,4.16,11.74
中山,富田暁,21,0,2,0.0,9.52
中山,小坂忠士,2,0,1,0.0,50.0
中山,小島太一,32,0,3,0.0,9.38
中山,小崎綾也,7,0,1,0.0,14.29
中山,小林凌大,273,8,35,2.93,12.82
中山,小林徹弥,1,0,0,0.0,0.0
中山,小林脩斗,380,16,45,4.21,11.84
中山,小沢大仁,7,0,0,0.0,0.0
中山,小牧太,5,0,0,0.0,0.0
中山,小野寺祐,18,0,0,0.0,0.0
中山,山本咲希,9,0,0,0.0,0.0
中山,山本康志,1,0,0,0.0,0.0
中山,山田敬士,401,5,38,1.25,9.48
中山,岡村健司,1,0,0,0.0,0.0
中山,岡田祥嗣,11,0,1,0.0,9.09
中山,岩本怜,2,1,1,50.0,50.0
中山,岩田康誠,369,29,93,7.86,25.2
中山,岩田望来,108,7,25,6.48,23.15
中山,岩部純二,393,5,29,1.27,7.38
中山,嶋田純次,296,5,29,1.69,9.8
中山,川又賢治,22,1,3,4.55,13.64
中山,川島信二,18,0,1,0.0,5.56
中山,川島正太,1,0,0,0.0,0.0
中山,川田将雅,182,39,87,21.43,47.8
中山,川須栄彦,15,1,2,6.67,13.33
中山,左海誠二,3,0,0,0.0,0.0
中山,平野優,27,0,2,0.0,7.41
中山,幸英明,50,5,11,10.0,22.0
中山,張田昂,2,0,0,0.0,0.0
中山,御神本訓,9,0,0,0.0,0.0
中山,戸崎圭太,1677,233,661,13.89,39.42
中山,斎藤新,135,9,25,6.67,18.52
中山,早田功駿,3,0,0,0.0,0.0
中山,服部寿希,6,1,1,16.67,16.67
中山,服部茂史,4,0,0,0.0,0.0
中山,木幡初也,347,10,42,2.88,12.1
中山,木幡初広,115,4,12,3.48,10.43
中山,木幡巧也,1363,65,248,4.77,18.2
中山,木幡育也,564,16,70,2.84,12.41
中山,木本直,2,0,0,0.0,0.0
中山,木間塚龍,2,0,0,0.0,0.0
中山,本橋孝太,1,0,0,0.0,0.0
中山,本田正重,2,0,0,0.0,0.0
中山,杉原誠人,490,13,60,2.65,12.24
中山,村田一誠,161,2,14,1.24,8.7
中山,松山弘平,189,20,53,10.58,28.04
中山,松岡正海,1092,60,211,5.49,19.32
中山,松木大地,5,1,2,20.0,40.0
中山,松本大輝,6,1,2,16.67,33.33
中山,松田大作,39,2,9,5.13,23.08
中山,松若風馬,49,1,8,2.04,16.33
中山,柴山雄一,642,42,123,6.54,19.16
中山,柴田善臣,826,35,128,4.24,15.5
中山,柴田大知,1668,74,315,4.44,18.88
中山,柴田未崎,1,0,0,0.0,0.0
